EpRewMean,EpThisIter,TimestepsSoFar,EpisodesSoFar,surrgain,optimgain,TimeElapsed,meankl,entloss,ev_tdlam_before,entropy,EpLenMean
164.225,4,676541,7319,0.18450665,0.18450665,1480.0139079093933,0.004609746,0.0,0.5636889040470123,37.135754,164.225
162.075,3,677001,7322,0.16501272,0.16501272,1480.7840662002563,0.004335334,0.0,0.639320969581604,37.138233,162.075
166.0,3,677553,7325,0.18245274,0.18245274,1481.582477092743,0.0044993786,0.0,0.8071570545434952,37.135025,166.0
166.2,4,678094,7329,0.21301538,0.21301538,1482.3566200733185,0.004826495,0.0,0.7193563878536224,37.131115,166.2
169.25,3,678578,7332,0.18456322,0.18456322,1483.1293230056763,0.005493919,0.0,0.6606147587299347,37.127193,169.25
168.125,3,678988,7335,0.15996663,0.15996663,1483.8976731300354,0.004445647,0.0,0.7971411347389221,37.122875,168.125
162.7,4,679568,7339,0.17805241,0.17805241,1484.6781482696533,0.004280007,0.0,0.838063046336174,37.123615,162.7
163.4,4,680136,7343,0.16352278,0.16352278,1485.4385542869568,0.004589576,0.0,0.5352043211460114,37.11809,163.4
165.65,2,680611,7345,0.16761234,0.16761234,1486.2043492794037,0.004675061,0.0,0.5721360146999359,37.114742,165.65
165.75,2,680936,7347,0.1707082,0.1707082,1486.9831011295319,0.00490997,0.0,0.8090833872556686,37.10706,165.75
169.725,2,681366,7349,0.17190748,0.17190748,1487.9416921138763,0.0042020953,0.0,0.7519697993993759,37.097767,169.725
167.35,3,681908,7352,0.17000368,0.17000368,1488.715460062027,0.004436475,0.0,0.6802391707897186,37.093708,167.35
160.025,4,682596,7356,0.18163788,0.18163788,1489.477369070053,0.005138656,0.0,0.5263814628124237,37.094864,160.025
164.45,3,683119,7359,0.16705407,0.16705407,1490.2436861991882,0.005081728,0.0,0.7836540341377258,37.08198,164.45
162.6,3,683505,7362,0.17837676,0.17837676,1491.0161521434784,0.0044238986,0.0,0.7098910808563232,37.08534,162.6
159.675,4,684163,7366,0.1719931,0.1719931,1491.8038442134857,0.004559166,0.0,0.6202439367771149,37.08833,159.675
165.1,3,684698,7369,0.1736866,0.1736866,1492.5697891712189,0.0051008817,0.0,0.7403420209884644,37.086308,165.1
169.125,3,685343,7372,0.17262217,0.17262217,1493.3390378952026,0.004914648,0.0,0.7368318736553192,37.077587,169.125
168.625,4,685953,7376,0.16163588,0.16163588,1494.1114010810852,0.004391717,0.0,0.7640831172466278,37.07818,168.625
175.25,3,686578,7379,0.1662267,0.1662267,1494.893012046814,0.0042208545,0.0,0.16586148738861084,37.085735,175.25
177.225,3,687086,7382,0.17930959,0.17930959,1495.6560821533203,0.0046925927,0.0,0.6601307690143585,37.101734,177.225
172.125,4,687657,7386,0.17363968,0.17363968,1496.4691309928894,0.004155487,0.0,0.7348659038543701,37.101635,172.125
167.325,3,688059,7389,0.18234587,0.18234587,1497.3246500492096,0.0045698723,0.0,0.8084506690502167,37.103016,167.325
163.85,3,688462,7392,0.18106717,0.18106717,1498.2269933223724,0.0042749643,0.0,0.9003686904907227,37.09473,163.85
158.1,4,688920,7396,0.17806363,0.17806363,1498.9926919937134,0.0049353894,0.0,0.566143274307251,37.085804,158.1
157.425,4,689539,7400,0.20237187,0.20237187,1499.7614710330963,0.004904444,0.0,0.8230438083410263,37.085735,157.425
157.75,3,689977,7403,0.16998842,0.16998842,1500.5214312076569,0.004784883,0.0,0.23016506433486938,37.07971,157.75
159.3,4,690674,7407,0.20176788,0.20176788,1501.4622480869293,0.0044765305,0.0,0.6452644765377045,37.06334,159.3
155.05,3,691220,7410,0.16743521,0.16743521,1502.3982152938843,0.004497241,0.0,0.6021825075149536,37.057743,155.05
154.675,3,691710,7413,0.15463287,0.15463287,1503.2129342556,0.004597164,0.0,0.4548928141593933,37.06775,154.675
157.025,4,692363,7417,0.17250323,0.17250323,1504.0176451206207,0.0044793976,0.0,0.7922577410936356,37.078083,157.025
162.1,2,693062,7419,0.16204727,0.16204727,1504.8239500522614,0.0041701174,0.0,0.14075517654418945,37.079548,162.1
161.2,1,693279,7420,0.1692656,0.1692656,1505.610731124878,0.0046728374,0.0,0.2967955470085144,37.083485,161.2
